FID,FID_1,sFIPS,prFIPS,tFIPS,GeoID,TownName,CountyName,tFIPS20,cFIPS20,PRName,PUMA20code,PUMA20name,Shape__Area,Shape__Length
143,143,09,110,76290,0911076290,Tolland,Tolland,0901376290,09013,Capitol Planning Region,20203,Capitol East,188215304.125,57985.2685811585
144,144,09,110,17800,0911017800,Coventry,Tolland,0901317800,09013,Capitol Planning Region,20203,Capitol East,178277835.101563,71500.5483400677
145,145,09,150,40500,0915040500,Killingly,Windham,0901540500,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,232786463.882813,72545.1414635994
146,146,09,150,73420,0915073420,Sterling,Windham,0901573420,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,126881205.648438,51983.2935924842
147,147,09,150,62710,0915062710,Putnam,Windham,0901562710,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,95532242.7617188,45162.1087964816
148,148,09,150,75870,0915075870,Thompson,Windham,0901575870,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,228218328.535156,61245.8727666266
149,149,09,150,88190,0915088190,Woodstock,Windham,0901588190,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,290073917.753906,68362.1023608591
150,150,09,110,85950,0911085950,Willington,Tolland,0901385950,09013,Capitol Planning Region,20203,Capitol East,156766149.765625,61500.3523226417
151,151,09,150,77830,0915077830,Union,Tolland,0901377830,09013,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,139919867.15625,48569.8236627772
152,152,09,160,40290,0916040290,Kent,Litchfield,0900540290,09005,Northwest Hills Planning Region,20100,Northwest Hills,230881870.363281,65523.0083760427
153,153,09,190,68310,0919068310,Sherman,Fairfield,0900168310,09001,Western Connecticut Planning Region,20904,Western North,108612934.574219,55747.2398894056
154,154,09,160,79510,0916079510,Warren,Litchfield,0900579510,09005,Northwest Hills Planning Region,20100,Northwest Hills,128253609.925781,43578.3604316701
155,155,09,160,66420,0916066420,Salisbury,Litchfield,0900566420,09005,Northwest Hills Planning Region,20100,Northwest Hills,281792825.011719,76321.1926663911
156,156,09,160,10940,0916010940,Canaan,Litchfield,0900510940,09005,Northwest Hills Planning Region,20100,Northwest Hills,155781360.660156,53518.5384921359
157,157,09,160,54030,0916054030,North Canaan,Litchfield,0900554030,09005,Northwest Hills Planning Region,20100,Northwest Hills,91471766.0429688,40317.1243731504
158,158,09,160,17240,0916017240,Cornwall,Litchfield,0900517240,09005,Northwest Hills Planning Region,20100,Northwest Hills,216329359.339844,69753.7413542128
159,159,09,160,67960,0916067960,Sharon,Litchfield,0900567960,09005,Northwest Hills Planning Region,20100,Northwest Hills,278283521.105469,69433.8245471897
160,160,09,190,56060,0919056060,Norwalk,Fairfield,0900156060,09001,Western Connecticut Planning Region,20903,Norwalk & Westport Towns,130482509.992188,50609.3696478785
161,161,09,190,18850,0919018850,Darien,Fairfield,0900118850,09001,Western Connecticut Planning Region,20902,Western Central,67679648.8085938,35843.170612259
162,162,09,190,50580,0919050580,New Canaan,Fairfield,0900150580,09001,Western Connecticut Planning Region,20902,Western Central,103008632.90625,43828.6032001385
163,163,09,190,73070,0919073070,Stamford,Fairfield,0900173070,09001,Western Connecticut Planning Region,20901,Stamford & Greenwich Towns,186130990.183594,67813.3305772077
164,164,09,190,83500,0919083500,Westport,Fairfield,0900183500,09001,Western Connecticut Planning Region,20903,Norwalk & Westport Towns,118084016.832031,55591.6496737846
165,165,09,120,26620,0912026620,Fairfield,Fairfield,0900126620,09001,Greater Bridgeport Planning Region,20802,Bridgeport Suburban,143588653,57493.872211241
166,166,09,190,83430,0919083430,Weston,Fairfield,0900183430,09001,Western Connecticut Planning Region,20902,Western Central,94747950.4648438,40267.5733131569
167,167,09,190,86370,0919086370,Wilton,Fairfield,0900186370,09001,Western Connecticut Planning Region,20902,Western Central,124939110.414063,48046.5519964842
168,168,09,190,63970,0919063970,Ridgefield,Fairfield,0900163970,09001,Western Connecticut Planning Region,20902,Western Central,160776367.8125,54114.9805191168
169,169,09,190,33620,0919033620,Greenwich,Fairfield,0900133620,09001,Western Connecticut Planning Region,20901,Stamford & Greenwich Towns,252824019.425781,75899.6640693726
